Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,wind,size,mod,dig,tash,preprocessing
controldigTruetashFalsemod1size100wind7.txt,0.1526,0.3408,0.0,0.4597,1.71021799424e-19,0.45606514438,3.55489282524e-19,7,100,1,True,False,control
controldigTruetashFalsemod0size100wind4.txt,0.1584,0.3516,0.0,0.4365,1.59058107512e-17,0.455548880211,3.94167204839e-19,4,100,0,True,False,control
tokensdigTruetashFalsemod1size200wind7.txt,0.1792,0.3777,1.0,0.4487,1.08852907834e-18,0.454115115196,3.69450749421e-19,7,200,1,True,False,tokens
lemmasdigFalsetashTruemod1size200wind4.txt,0.182,0.3813,1.0,0.4494,9.50687704601e-19,0.451936855566,5.71089101367e-19,4,200,1,False,True,lemmas
controldigFalsetashTruemod1size200wind7.txt,0.1972,0.402,0.0,0.4325,2.72376231579e-17,0.448324786569,1.30833860931e-18,7,200,1,False,True,control
lemmasdigFalsetashTruemod0size100wind4.txt,0.1396,0.3204,1.0,0.4367,1.09412452949e-17,0.446673559169,1.61503158668e-18,4,100,0,False,True,lemmas
lemmasdigTruetashTruemod1size100wind4.txt,0.1376,0.3206,1.0,0.4381,8.39220120571e-18,0.44640229711,1.70309203591e-18,4,100,1,True,True,lemmas
controldigTruetashFalsemod0size100wind7.txt,0.1678,0.3639,0.0,0.4322,3.53126203302e-17,0.444808007087,3.24935718351e-18,7,100,0,True,False,control
lemmasdigFalsetashFalsemod1size100wind4.txt,0.1411,0.3256,1.0,0.4309,3.30495263248e-17,0.441606072071,4.32044422901e-18,4,100,1,False,False,lemmas
controldigTruetashFalsemod0size200wind4.txt,0.2075,0.4134,0.0,0.4219,2.28124833369e-16,0.438974975233,9.90599458154e-18,4,200,0,True,False,control
controldigTruetashTruemod0size200wind7.txt,0.2208,0.4267,0.0,0.4178,3.9100533196e-16,0.438038549003,9.52794919675e-18,7,200,0,True,True,control
lemmasdigTruetashTruemod0size200wind4.txt,0.1895,0.3897,1.0,0.4151,5.70208386886e-16,0.431571315581,2.89047645677e-17,4,200,0,True,True,lemmas
controldigFalsetashTruemod0size200wind7.txt,0.224,0.4328,0.0,0.4154,5.92832243482e-16,0.426673273742,7.9118188656e-17,7,200,0,False,True,control
lemmasdigFalsetashFalsemod0size200wind4.txt,0.1933,0.395,1.0,0.398,1.06470835108e-14,0.426108039124,7.92462520403e-17,4,200,0,False,False,lemmas
lemmasdigFalsetashTruemod1size100wind4.txt,0.1429,0.3275,1.0,0.4296,4.14815077897e-17,0.424985036217,9.72824685806e-17,4,100,1,False,True,lemmas
lemmasdigFalsetashFalsemod0size100wind7.txt,0.1743,0.3687,1.0,0.4092,1.60061579845e-15,0.424491993337,1.06421378248e-16,7,100,0,False,False,lemmas
lemmasdigFalsetashFalsemod0size200wind7.txt,0.2129,0.418,1.0,0.4045,3.5775613384e-15,0.422149469556,1.62714713499e-16,7,200,0,False,False,lemmas
lemmasdigTruetashTruemod0size100wind7.txt,0.167,0.3576,1.0,0.4191,2.81664130461e-16,0.42213987124,1.62996933294e-16,7,100,0,True,True,lemmas
